x, y
0.8440074626865671, 0.9512195121951219
1.0784539800995023, 1.1951219512195121
1.500457711442786, 1.4878048780487805
1.6880149253731342, 1.8780487804878048
1.8755721393034825, 2.3170731707317076
2.203797263681592, 2.2682926829268295
2.5320223880597013, 1.9268292682926829
2.9540261194029847, 2.2195121951219514
3.141583333333333, 2.414634146341464
3.4698084577114425, 2.2195121951219514
3.844922885572139, 2.024390243902439
4.173148009950248, 2.3170731707317076
4.642041044776119, 2.6097560975609757
5.017155472636816, 2.8536585365853657
5.486048507462686, 2.658536585365854
5.954941542288557, 2.658536585365854
6.189388059701492, 2.8048780487804876
6.470723880597014, 3.1463414634146343
6.752059701492537, 3.4878048780487805
7.080284825870646, 3.6341463414634148
7.267842039800994, 3.2926829268292686
7.596067164179104, 2.8536585365853657
7.924292288557213, 2.8048780487804876
8.205628109452736, 3
8.486963930348258, 3.1951219512195124
8.721410447761194, 3.1951219512195124
9.002746268656715, 3.3414634146341466
9.23719278606965, 3.6341463414634148
9.56541791044776, 4.073170731707317
9.940532338308456, 3.829268292682927
10.174978855721392, 3.5365853658536586
10.596982587064677, 3.3902439024390243
11.065875621890546, 3.5365853658536586
11.48787935323383, 3.829268292682927
11.9567723880597, 4.024390243902439
12.28499751243781, 4.365853658536586
12.660111940298506, 4.658536585365853
13.035226368159202, 4.804878048780488
13.316562189054725, 5.097560975609756
13.504119402985074, 5.536585365853659
13.644787313432834, 5.975609756097561
13.832344527363183, 6.317073170731708
14.20745895522388, 6.414634146341464
14.629462686567162, 6.219512195121951
14.957687810945272, 5.975609756097561
15.192134328358208, 5.829268292682927
15.47347014925373, 5.829268292682927
15.707916666666666, 5.682926829268293
15.848584577114426, 5.2926829268292686
15.9423631840796, 4.902439024390244
16.08303109452736, 4.463414634146341
16.12992039800995, 4.170731707317073
16.364366915422885, 4.170731707317073
16.55192412935323, 3.829268292682927
16.833259950248756, 3.4878048780487805
17.020817164179103, 3.1463414634146343
17.255263681592037, 2.7560975609756095
17.489710199004975, 2.414634146341464
17.677267412935322, 1.9268292682926829
18.00549253731343, 1.6341463414634148
